event_id,country_code,country_name,event_name,event_anchor_date,event_date_precision,window_days,nearby_event_count,contamination_level,nearby_event_ids,nearby_event_names,nearby_event_distance_days,is_contaminated_window
BRA_2021_03_17,BRA,Brazil,Inicio do ciclo de alta da Selic,2021-03-17,day,180,2,moderada,BRA_2021_02_19; BRA_2021_04_27,Troca no comando da Petrobras; CPI da Covid,-26; 41,True
BRA_2021_04_27,BRA,Brazil,CPI da Covid,2021-04-27,day,30,0,baixa,,,,False
BRA_2021_04_27,BRA,Brazil,CPI da Covid,2021-04-27,day,90,2,moderada,BRA_2021_03_17; BRA_2021_02_19,Inicio do ciclo de alta da Selic; Troca no comando da Petrobras,-41; -67,True
BRA_2021_04_27,BRA,Brazil,CPI da Covid,2021-04-27,day,180,2,moderada,BRA_2021_03_17; BRA_2021_02_19,Inicio do ciclo de alta da Selic; Troca no comando da Petrobras,-41; -67,True
BRA_2021_12_02,BRA,Brazil,Aprovacao da PEC dos Precatorios,2021-12-02,day,30,0,baixa,,,,False
BRA_2021_12_02,BRA,Brazil,Aprovacao da PEC dos Precatorios,2021-12-02,day,90,1,moderada,BRA_2022_02_24,Choque global da guerra na Ucrania,84,True
BRA_2021_12_02,BRA,Brazil,Aprovacao da PEC dos Precatorios,2021-12-02,day,180,1,moderada,BRA_2022_02_24,Choque global da guerra na Ucrania,84,True
BRA_2022_02_24,BRA,Brazil,Choque global da guerra na Ucrania,2022-02-24,day,30,0,baixa,,,,False
BRA_2022_02_24,BRA,Brazil,Choque global da guerra na Ucrania,2022-02-24,day,90,1,moderada,BRA_2021_12_02,Aprovacao da PEC dos Precatorios,-84,True
BRA_2022_02_24,BRA,Brazil,Choque global da guerra na Ucrania,2022-02-24,day,180,3,alta,BRA_2021_12_02; BRA_2022_06_23; BRA_2022_07_14,Aprovacao da PEC dos Precatorios; Teto do ICMS dos combustiveis; PEC dos beneficios eleitorais,-84; 119; 140,True
BRA_2022_06_23,BRA,Brazil,Teto do ICMS dos combustiveis,2022-06-23,day,30,1,moderada,BRA_2022_07_14,PEC dos beneficios eleitorais,21,True
BRA_2022_06_23,BRA,Brazil,Teto do ICMS dos combustiveis,2022-06-23,day,90,1,moderada,BRA_2022_07_14,PEC dos beneficios eleitorais,21,True
BRA_2022_06_23,BRA,Brazil,Teto do ICMS dos combustiveis,2022-06-23,day,180,4,alta,BRA_2022_07_14; BRA_2022_02_24; BRA_2022_10_30; BRA_2022_12_09,PEC dos beneficios eleitorais; Choque global da guerra na Ucrania; Eleicao Lula; Anuncio de Fernando Haddad na Fazenda,21; -119; 129; 169,True
BRA_2022_07_14,BRA,Brazil,PEC dos beneficios eleitorais,2022-07-14,day,30,1,moderada,BRA_2022_06_23,Teto do ICMS dos combustiveis,-21,True
BRA_2022_07_14,BRA,Brazil,PEC dos beneficios eleitorais,2022-07-14,day,90,1,moderada,BRA_2022_06_23,Teto do ICMS dos combustiveis,-21,True
BRA_2022_07_14,BRA,Brazil,PEC dos beneficios eleitorais,2022-07-14,day,180,6,alta,BRA_2022_06_23; BRA_2022_10_30; BRA_2022_02_24; BRA_2022_12_09; BRA_2022_12_21; BRA_2023_01_08,Teto do ICMS dos combustiveis; Eleicao Lula; Choque global da guerra na Ucrania; Anuncio de Fernando Haddad na Fazenda; Aprovacao da PEC da Transicao; Atos de 8 de janeiro,-21; 108; -140; 148; 160; 178,True
BRA_2022_10_30,BRA,Brazil,Eleicao Lula,2022-10-30,day,30,0,baixa,,,,False
BRA_2022_10_30,BRA,Brazil,Eleicao Lula,2022-10-30,day,90,3,alta,BRA_2022_12_09; BRA_2022_12_21; BRA_2023_01_08,Anuncio de Fernando Haddad na Fazenda; Aprovacao da PEC da Transicao; Atos de 8 de janeiro,40; 52; 70,True
BRA_2022_10_30,BRA,Brazil,Eleicao Lula,2022-10-30,day,180,6,alta,BRA_2022_12_09; BRA_2022_12_21; BRA_2023_01_08; BRA_2022_07_14; BRA_2022_06_23; BRA_2023_03_30,Anuncio de Fernando Haddad na Fazenda; Aprovacao da PEC da Transicao; Atos de 8 de janeiro; PEC dos beneficios eleitorais; Teto do ICMS dos combustiveis; Apresentacao do novo arcabouco fiscal,40; 52; 70; -108; -129; 151,True
BRA_2022_12_09,BRA,Brazil,Anuncio de Fernando Haddad na Fazenda,2022-12-09,day,30,2,moderada,BRA_2022_12_21; BRA_2023_01_08,Aprovacao da PEC da Transicao; Atos de 8 de janeiro,12; 30,True
BRA_2022_12_09,BRA,Brazil,Anuncio de Fernando Haddad na Fazenda,2022-12-09,day,90,3,alta,BRA_2022_12_21; BRA_2023_01_08; BRA_2022_10_30,Aprovacao da PEC da Transicao; Atos de 8 de janeiro; Eleicao Lula,12; 30; -40,True
